date,type,file_name,link
4/13/2022,avi,Def666-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def666-CL20192911-041322.avi
4/13/2022,avi,Def789H-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def789H-CL20192911-041322.avi
4/13/2022,avi,Def686-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def686-CL20192911-041322.avi
4/13/2022,avi,Def780X-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def780X-CL20192911-041322.avi
4/13/2022,avi,Def672-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def672-CL20192911-041322.avi
4/13/2022,avi,Def685-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def685-CL20192911-041322.avi
4/13/2022,avi,Def694-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def694-CL20192911-041322.avi
4/13/2022,avi,Def673-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def673-CL20192911-041322.avi
4/13/2022,avi,Def744-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def744-CL20192911-041322.avi
4/13/2022,avi,Def681-CL20192911-041322.avi,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def681-CL20192911-041322.avi
4/14/2022,pdf,Def397-CL20192911-041422.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-14-2022/Def397-CL20192911-041422.pdf
4/14/2022,pdf,Def844-CL20192911-041422.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-14-2022/Def844-CL20192911-041422.pdf
4/18/2022,pdf,Def414-CL20192911-041822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def414-CL20192911-041822.pdf
4/18/2022,pdf,Def395-CL20192911-041822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def395-CL20192911-041822.pdf
4/18/2022,pdf,Def307-CL20192911-041822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def307-CL20192911-041822.pdf
4/18/2022,pdf,Def304-CL20192911-041822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def304-CL20192911-041822.pdf
4/18/2022,pdf,Def283-CL20192911-041822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def283-CL20192911-041822.pdf
4/18/2022,pdf,Def405-CL20192911-041822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def405-CL20192911-041822.pdf
4/18/2022,pdf,Def455-CL20192911-041822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def455-CL20192911-041822.pdf
4/18/2022,pdf,Def1063-CL20192911-041822.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def1063-CL20192911-041822.pdf
4/20/2022,pdf,Def1458-CL20192911-042022.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-20-2022/Def1458-CL20192911-042022.pdf
4/21/2022,pdf,Def483A-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def483A-CL20192911-042122.pdf
4/21/2022,pdf,Def485A-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def485A-CL20192911-042122.pdf
4/21/2022,pdf,Def186A-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def186A-CL20192911-042122.pdf
4/21/2022,pdf,Def181-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def181-CL20192911-042122.pdf
4/21/2022,pdf,Def182-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def182-CL20192911-042122.pdf
4/21/2022,pdf,Def196A-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def196A-CL20192911-042122.pdf
4/21/2022,pdf,Def236-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def236-CL20192911-042122.pdf
4/21/2022,pdf,Def245-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def245-CL20192911-042122.pdf
4/21/2022,pdf,Def293A-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def293A-CL20192911-042122.pdf
4/21/2022,pdf,Def325-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def325-CL20192911-042122.pdf
4/21/2022,pdf,Def346-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def346-CL20192911-042122.pdf
4/21/2022,pdf,Def349-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def349-CL20192911-042122.pdf
4/21/2022,pdf,Def350-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def350-CL20192911-042122.pdf
4/21/2022,pdf,Def353-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def353-CL20192911-042122.pdf
4/21/2022,pdf,Def398-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def398-CL20192911-042122.pdf
4/21/2022,pdf,Def408-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def408-CL20192911-042122.pdf
4/21/2022,pdf,Def427-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def427-CL20192911-042122.pdf
4/21/2022,pdf,Def435-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def435-CL20192911-042122.pdf
4/21/2022,pdf,Def445-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def445-CL20192911-042122.pdf
4/21/2022,pdf,Def499-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def499-CL20192911-042122.pdf
4/21/2022,pdf,Def580-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def580-CL20192911-042122.pdf
4/21/2022,pdf,Def736-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def736-CL20192911-042122.pdf
4/21/2022,pdf,Def771-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def771-CL20192911-042122.pdf
4/21/2022,pdf,Def866-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def866-CL20192911-042122.pdf
4/21/2022,m4a,Def586A-CL20192911-042122.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def586A-CL20192911-042122.m4a
4/21/2022,m4a,Def587A-CL20192911-042122.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def587A-CL20192911-042122.m4a
4/21/2022,m4a,Def598A-CL20192911-042122.m4a,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def598A-CL20192911-042122.m4a
4/21/2022,pdf,Def143-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def143-CL20192911-042122.pdf
4/21/2022,pdf,Def145-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def145-CL20192911-042122.pdf
4/21/2022,pdf,Def159A-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def159A-CL20192911-042122.pdf
4/21/2022,pdf,Def161-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def161-CL20192911-042122.pdf
4/21/2022,pdf,Def175-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def175-CL20192911-042122.pdf
4/21/2022,pdf,Def152-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def152-CL20192911-042122.pdf
4/21/2022,pdf,Def153-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def153-CL20192911-042122.pdf
4/21/2022,pdf,Def178-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def178-CL20192911-042122.pdf
4/21/2022,pdf,Def374-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def374-CL20192911-042122.pdf
4/21/2022,pdf,Def375-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def375-CL20192911-042122.pdf
4/21/2022,pdf,Def377-CL20192911-042122.pdf,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def377-CL20192911-042122.pdf
